,Country Name,MAE,MSE,RMSE,R2
0,Africa Western and Central,0.7739172639771146,1.1277256071204855,1.0619442580100358,0.9879695340314364
1,Angola,0.763671651803534,3.768396410919336,1.9412357947759298,0.9795635362555122
2,Burundi,0.38046987028089,0.3518470755081268,0.5931669878778882,0.9799435586053735
3,Benin,0.7445119334807493,3.0350865698125116,1.7421499848786015,0.9777386885173485
4,Burkina Faso,0.34976102574126666,0.6825401119922841,0.8261598586183452,0.9783232146670119
5,Botswana,0.9705046359190987,2.342260795764753,1.5304446398889289,0.9967730556401604
6,Central African Republic,0.18823207750049809,0.1199964337233922,0.34640501399863166,0.9965051949729657
7,Cameroon,0.3303173547070103,0.5802763207712035,0.7617587024584646,0.9967568311143639
8,"Congo, Dem. Rep.",0.34885947132314726,0.9198845225011367,0.9591061059659336,0.9859198214834395
9,"Congo, Rep.",0.18217256485357688,0.09430141560488092,0.3070853555689052,0.9993158585568446
10,Comoros,1.3258403433312544,4.764263661878281,2.1827193273250414,0.9932952486121802
11,Cabo Verde,2.155316720032845,8.61921383064697,2.935849762955688,0.9781179375825262
12,Djibouti,1.089481825055612,4.147972732396912,2.0366572447019435,0.745899376981881
13,Algeria,0.08077518534817676,0.014236196221344744,0.11931553218816376,0.9702806095126202
14,"Egypt, Arab Rep.",0.6639381320642512,0.6976814600260818,0.8352732846356824,0.7914230055901563
15,Eritrea,0.09989692062303039,0.03703191922451511,0.19243679280354656,0.9997858127669018
16,Ethiopia,3.170323870349878,14.95614091384929,3.8673170175005422,0.9704336602822189
17,Gabon,0.6766629277017984,1.9408210140217617,1.39313352340031,0.9760611069244577
18,Ghana,1.5850341361451437,9.25698227916783,3.042528928238453,0.9845350795446046
19,Guinea,0.8110206918290193,2.5339397959492835,1.5918353545355386,0.9909068648313671
20,"Gambia, The",0.8334083765178821,3.0156017325589586,1.7365487993600868,0.9927406425722699
21,Guinea-Bissau,4.087422036364272,22.786276937015213,4.773497348592038,0.9158360063162879
22,Equatorial Guinea,0.0635986098718434,0.0147845659198763,0.12159180038093152,0.9897994279506117
23,Kenya,4.061415767959444,37.08211761620367,6.089508815676653,0.9495174170032568
24,Liberia,5.626075362404137,41.709053324286266,6.458254665487129,0.842387259380885
25,Libya,2.237969090279306,8.082332918325818,2.8429444099957033,0.9693077986020165
26,Lesotho,4.90264506087224,31.171945663775293,5.583184186803736,0.9422650817046727
27,Morocco,4.983621246757071,39.93625728063045,6.319514006680454,0.8653944359801867
28,Madagascar,1.96080352342092,11.158772210147808,3.340474848004069,0.8706559228308518
29,Mali,2.330891230730137,9.36144315401968,3.059647553889121,0.979957441070842
30,Mozambique,1.2685287734333348,2.8130393390344235,1.6772117752491555,0.9853869513753558
31,Mauritania,0.548844440166059,2.1602812738244053,1.4697895338531994,0.9919777670927544
32,Mauritius,0.11541200509272742,0.026411610084960117,0.16251649173225502,0.688789034255714
33,Malawi,0.6121099626645834,1.6455396978163666,1.282785912697971,0.9374459908981166
34,Namibia,0.40952168155809565,0.7271823884416915,0.8527498979429382,0.9944931428517211
35,Niger,0.4010112074652533,0.5611603860540423,0.7491063916788071,0.9864293139519926
36,Nigeria,1.1650951892111425,4.690240307180644,2.165696263833099,0.951532672974534
37,Rwanda,4.698026129095754,35.61771480313778,5.9680578753173785,0.9058128314213346
38,Sudan,4.00727067201168,31.82030737278401,5.640949155309238,0.8159835511129361
39,Senegal,1.0728060173537242,3.492855508886008,1.8689182723934206,0.9902072158608182
40,Sierra Leone,0.9227401076055164,2.882009141249994,1.6976481205626783,0.9728614768652362
41,Somalia,6.434057134768792,57.82043347611749,7.603974847151816,0.9346082493239875
42,Sub-Saharan Africa (excluding high income),1.4498004636178599,3.9714203850508265,1.9928422880526262,0.9677270895818824
43,South Sudan,1.1194608450585704,1.7260728617650152,1.3138009216639388,0.8918996659981343
44,Sub-Saharan Africa,1.4495734564646272,3.9680461783021364,1.9919955266772404,0.9677273185536683
45,Eswatini,2.3087314940666213,8.552027144366784,2.9243849172717984,0.9925301557688867
46,Seychelles,0.8841534860813648,1.3677739952601495,1.1695187023986189,0.8812030103615982
47,Chad,0.3025598704995148,0.29545987956094233,0.5435622131467035,0.9852019481929659
48,Togo,0.4187720810919561,0.981618973543942,0.9907668613472809,0.9978764374115203
49,Tunisia,1.811688159756768,4.857149275303711,2.2038941161733954,0.6701109046579826
50,Tanzania,2.808949670699947,16.627569437250898,4.077691680013448,0.9211477700125117
51,Uganda,3.5602486513561744,24.510256311981827,4.950783403864668,0.9100413194193073
52,South Africa,1.7212608224900667,7.816984053567953,2.795886988697496,0.9353892076853016
53,Zambia,2.298544106125398,10.637528778207587,3.2615224632382325,0.9233557944454877
54,Zimbabwe,1.5098242983534453,7.780096350201854,2.7892824077532654,0.8576334158196542
