,Country Name,MAE,MSE,RMSE,R2
0,Africa Western and Central,0.8113067051924775,1.1348657244837124,1.0653007671468713,0.9878907502618557
1,Angola,0.814592759411938,3.7755348138864595,1.9430735482442396,0.9795216858315184
2,Burundi,0.41403569303986143,0.35634594883997667,0.5969471909976432,0.9794286532405756
3,Benin,0.7924704682586692,3.042225486530161,1.7441976626891118,0.9776836001919731
4,Burkina Faso,0.3966515679442473,0.6896820595733839,0.8304709865933811,0.9780914584114893
5,Botswana,0.9857408005438681,2.349385542619075,1.532770544673623,0.9967628442194754
6,Central African Republic,0.22501300246451506,0.12713847879663007,0.35656483112700565,0.9962968242401354
7,Cameroon,0.3623992521457871,0.5874148313079354,0.7664299258953393,0.9967164590794649
8,"Congo, Dem. Rep.",0.3988245092207091,0.9269242015806979,0.9627690281582068,0.985793778044218
9,"Congo, Rep.",0.23364901844138955,0.10144083283759811,0.318497775247486,0.9992639443994084
10,Comoros,1.26720659471407,4.314625688365763,2.07716770829073,0.993810672866471
11,Cabo Verde,2.075594459080508,7.979970384975042,2.824884136557647,0.9792802247484171
12,Djibouti,1.1277638310529483,4.155114863176646,2.0384098859593096,0.7453990329363419
13,Algeria,0.12457924704682628,0.021190981558596365,0.14557122503639366,0.955111784409786
14,"Egypt, Arab Rep.",0.666739100875331,0.7048242368488167,0.8395381092296029,0.7892876200212599
15,Eritrea,0.142011472762786,0.04417009900569801,0.2101668361223959,0.9997444953355965
16,Ethiopia,3.0675359054983167,14.143393115916995,3.7607702822582763,0.970842296669295
17,Gabon,0.7252430526047488,1.947961825019116,1.3956940298715603,0.9759711815083518
18,Ghana,1.579285799269145,9.174566212288612,3.0289546401834104,0.9845184705314273
19,Guinea,0.8547407155604726,2.5410757049375117,1.594075187981267,0.9908798000806783
20,"Gambia, The",0.8621076740035658,3.0227346609160866,1.7386013519251866,0.9927225037612344
21,Guinea-Bissau,3.7290757202345715,19.19281617914532,4.380960645696937,0.9193985066735364
22,Equatorial Guinea,0.12092207019630746,0.02192737953598958,0.14807896385371414,0.9848712626381245
23,Kenya,4.014317243137547,36.97583358502597,6.080775738754552,0.9490320050415745
24,Liberia,4.727939576782522,28.691079985977694,5.356405509852451,0.8573887823795181
25,Libya,2.0972257159854064,7.141680655647242,2.6723923094574347,0.9710887991778611
26,Lesotho,4.435212883487728,26.621196711141415,5.159573307080869,0.9454741361580788
27,Morocco,4.996424407240615,39.94339234766753,6.320078508030382,0.8653703871636915
28,Madagascar,1.9817917906008562,11.165913442678692,3.341543571865956,0.8705570654895408
29,Mali,2.2493022010707984,9.064352935752472,3.0107063848460003,0.9800766994800276
30,Mozambique,1.2842286054220007,2.70914151270511,1.64594699571557,0.9855740979814489
31,Mauritania,0.5974165037817816,2.1674178703152958,1.472215293466039,0.9919498553386508
32,Mauritius,0.1372216367808266,0.03355446545423662,0.18317878003261354,0.6046239678135841
33,Malawi,0.6438726948245053,1.6526818067476776,1.2855667259025017,0.9371744887595242
34,Namibia,0.45064315458485077,0.7343216074615359,0.8569256720752015,0.9944384616750825
35,Niger,0.44184668989546233,0.5683020056088921,0.7538580805489135,0.98625660632818
36,Nigeria,1.196416248831479,4.697380925894495,2.1673442102939013,0.9514527323240066
37,Rwanda,4.437821959717851,33.941083007988674,5.825897613929434,0.903791000267282
38,Sudan,4.022232089742441,31.827446655477218,5.641581928455636,0.8159250628392828
39,Senegal,1.1144567009433242,3.4999892342992927,1.8708258161302171,0.9901857657241464
40,Sierra Leone,0.9502499362624269,2.887264264043511,1.699195181267741,0.9726949478740513
41,Somalia,6.1894156539475,55.404666115407345,7.44343107144866,0.9338425217450526
42,Sub-Saharan Africa (excluding high income),1.4987775133848875,3.9785603361094006,1.9946328825398925,0.9676633940510229
43,South Sudan,0.9810612730517588,1.3018214969830852,1.1409739247603712,0.9011336264883179
44,Sub-Saharan Africa,1.4985280870230235,3.975186657601723,1.9937870141019887,0.967663331012434
45,Eswatini,2.139414634146368,7.8211804669840355,2.7966373499229453,0.9930218516449634
46,Seychelles,0.8934372397382534,1.374916544573807,1.1725683539025804,0.8805826495711849
47,Chad,0.34374717430100565,0.302152221891731,0.5496837471598838,0.9847942354692256
48,Togo,0.4581337639160318,0.9885783530211336,0.9942727759629817,0.9978599467127462
49,Tunisia,1.8082263958528089,4.864291833092539,2.205513961210071,0.6696257946080681
50,Tanzania,2.8037530381575726,16.625373908387882,4.077422458905612,0.9206417918096802
51,Uganda,3.468862411829636,24.332748329650354,4.93282356563159,0.9083490345792617
52,South Africa,1.7552079544488708,7.824123567604322,2.7971634860344365,0.9353238664695529
53,Zambia,2.315571598538301,10.644667510410445,3.2626166661761604,0.9232994588170516
54,Zimbabwe,1.5465090507351305,7.787238276111193,2.7905623583986063,0.8574784388442965
